date,symbol,file,status,bytes
2026-07-24,CYBERUSDT,CYBERUSDT-1m-2026-07-24.zip,ok,15914
2026-07-24,CYBERUSDT,CYBERUSDT-aggTrades-2026-07-24.zip,ok,14367
2026-07-24,DASHUSDT,DASHUSDT-1m-2026-07-24.zip,ok,39702
2026-07-24,DASHUSDT,DASHUSDT-aggTrades-2026-07-24.zip,ok,183799
2026-07-24,DCRUSDT,DCRUSDT-1m-2026-07-24.zip,ok,29487
2026-07-24,DCRUSDT,DCRUSDT-aggTrades-2026-07-24.zip,ok,78880
2026-07-24,DGBUSDT,DGBUSDT-1m-2026-07-24.zip,ok,32301
2026-07-24,DGBUSDT,DGBUSDT-aggTrades-2026-07-24.zip,ok,59479
2026-07-24,DIAUSDT,DIAUSDT-1m-2026-07-24.zip,ok,43977
2026-07-24,DIAUSDT,DIAUSDT-aggTrades-2026-07-24.zip,ok,404436
2026-07-24,DODOUSDT,DODOUSDT-1m-2026-07-24.zip,ok,38046
2026-07-24,DODOUSDT,DODOUSDT-aggTrades-2026-07-24.zip,ok,155421
2026-07-24,DOGSUSDT,DOGSUSDT-1m-2026-07-24.zip,ok,30758
2026-07-24,DOGSUSDT,DOGSUSDT-aggTrades-2026-07-24.zip,ok,64156
2026-07-24,DOLOUSDT,DOLOUSDT-1m-2026-07-24.zip,ok,19426
2026-07-24,DOLOUSDT,DOLOUSDT-aggTrades-2026-07-24.zip,ok,21005
2026-07-24,DOTUSDT,DOTUSDT-1m-2026-07-24.zip,ok,38388
2026-07-24,DOTUSDT,DOTUSDT-aggTrades-2026-07-24.zip,ok,144823
2026-07-24,DRAMBUSDT,DRAMBUSDT-1m-2026-07-24.zip,ok,33374
2026-07-24,DRAMBUSDT,DRAMBUSDT-aggTrades-2026-07-24.zip,ok,140449
2026-07-24,DUSKUSDT,DUSKUSDT-1m-2026-07-24.zip,ok,20830
2026-07-24,DUSKUSDT,DUSKUSDT-aggTrades-2026-07-24.zip,ok,26973
2026-07-24,DYDXUSDT,DYDXUSDT-1m-2026-07-24.zip,ok,33018
2026-07-24,DYDXUSDT,DYDXUSDT-aggTrades-2026-07-24.zip,ok,113767
2026-07-24,DYMUSDT,DYMUSDT-1m-2026-07-24.zip,ok,25097
2026-07-24,DYMUSDT,DYMUSDT-aggTrades-2026-07-24.zip,ok,53163
2026-07-24,EDENUSDT,EDENUSDT-1m-2026-07-24.zip,ok,31655
2026-07-24,EDENUSDT,EDENUSDT-aggTrades-2026-07-24.zip,ok,133163
2026-07-24,EDUUSDT,EDUUSDT-1m-2026-07-24.zip,ok,22457
2026-07-24,EDUUSDT,EDUUSDT-aggTrades-2026-07-24.zip,ok,68326
2026-07-24,EGLDUSDT,EGLDUSDT-1m-2026-07-24.zip,ok,19466
2026-07-24,EGLDUSDT,EGLDUSDT-aggTrades-2026-07-24.zip,ok,23805
2026-07-24,EIGENUSDT,EIGENUSDT-1m-2026-07-24.zip,ok,49410
2026-07-24,EIGENUSDT,EIGENUSDT-aggTrades-2026-07-24.zip,ok,327989
2026-07-24,ENJUSDT,ENJUSDT-1m-2026-07-24.zip,ok,29429
2026-07-24,ENJUSDT,ENJUSDT-aggTrades-2026-07-24.zip,ok,71971
2026-07-24,ENSOUSDT,ENSOUSDT-1m-2026-07-24.zip,ok,39748
2026-07-24,ENSOUSDT,ENSOUSDT-aggTrades-2026-07-24.zip,ok,143522
2026-07-24,ENSUSDT,ENSUSDT-1m-2026-07-24.zip,ok,22003
2026-07-24,ENSUSDT,ENSUSDT-aggTrades-2026-07-24.zip,ok,29405
2026-07-24,EPICUSDT,EPICUSDT-1m-2026-07-24.zip,ok,53519
2026-07-24,EPICUSDT,EPICUSDT-aggTrades-2026-07-24.zip,ok,1492548
2026-07-24,ERAUSDT,ERAUSDT-1m-2026-07-24.zip,ok,48714
2026-07-24,ERAUSDT,ERAUSDT-aggTrades-2026-07-24.zip,ok,639863
2026-07-24,ESPUSDT,ESPUSDT-1m-2026-07-24.zip,ok,37590
2026-07-24,ESPUSDT,ESPUSDT-aggTrades-2026-07-24.zip,ok,325659
2026-07-24,ETCUSDT,ETCUSDT-1m-2026-07-24.zip,ok,32663
2026-07-24,ETCUSDT,ETCUSDT-aggTrades-2026-07-24.zip,ok,168809
2026-07-24,ETHFIUSDT,ETHFIUSDT-1m-2026-07-24.zip,ok,44659
2026-07-24,ETHFIUSDT,ETHFIUSDT-aggTrades-2026-07-24.zip,ok,324673
2026-07-24,EULUSDT,EULUSDT-1m-2026-07-24.zip,ok,27150
2026-07-24,EULUSDT,EULUSDT-aggTrades-2026-07-24.zip,ok,60187
2026-07-24,EWYBUSDT,EWYBUSDT-1m-2026-07-24.zip,ok,32371
2026-07-24,EWYBUSDT,EWYBUSDT-aggTrades-2026-07-24.zip,ok,148144
2026-07-24,FETUSDT,FETUSDT-1m-2026-07-24.zip,ok,39628
2026-07-24,FETUSDT,FETUSDT-aggTrades-2026-07-24.zip,ok,139159
2026-07-24,FFUSDT,FFUSDT-1m-2026-07-24.zip,ok,38503
2026-07-24,FFUSDT,FFUSDT-aggTrades-2026-07-24.zip,ok,206893
2026-07-24,FIDAUSDT,FIDAUSDT-1m-2026-07-24.zip,ok,20983
2026-07-24,FIDAUSDT,FIDAUSDT-aggTrades-2026-07-24.zip,ok,28913
2026-07-24,FILUSDT,FILUSDT-1m-2026-07-24.zip,ok,47524
2026-07-24,FILUSDT,FILUSDT-aggTrades-2026-07-24.zip,ok,340035
2026-07-24,FLOKIUSDT,FLOKIUSDT-1m-2026-07-24.zip,ok,39720
2026-07-24,FLOKIUSDT,FLOKIUSDT-aggTrades-2026-07-24.zip,ok,280087
2026-07-24,FLOWUSDT,FLOWUSDT-1m-2026-07-24.zip,ok,20800
2026-07-24,FLOWUSDT,FLOWUSDT-aggTrades-2026-07-24.zip,ok,24136
2026-07-24,FLUXUSDT,FLUXUSDT-1m-2026-07-24.zip,ok,16901
2026-07-24,FLUXUSDT,FLUXUSDT-aggTrades-2026-07-24.zip,ok,18594
2026-07-24,FOGOUSDT,FOGOUSDT-1m-2026-07-24.zip,ok,19118
2026-07-24,FOGOUSDT,FOGOUSDT-aggTrades-2026-07-24.zip,ok,28574
